repo_slug,category,rationale,suggested_new_class
xrp-project/XRP,"Platform, Runtime & Acceleration","The repository's primary purpose is to enhance and extend the eBPF execution environment itself for a new, high-performance use case: storage acceleration. It achieves this by modifying the Linux kernel to add a new BPF program type (`BPF_PROG_TYPE_XRP`), a new syscall, and a new hook in the NVMe driver. This directly aligns with the definition of 'Platform, Runtime & Acceleration', which includes programs that 'extend, optimize, or abstract the execution environment for eBPF'. The project's goal is not to observe, secure, or manage network traffic, but to create a new, accelerated I/O path that bypasses the traditional kernel stack, thereby fundamentally changing *how* eBPF can be used for performance-critical storage operations.",
Exein-io/pulsar,Runtime Security,"The repository explicitly describes itself as a ""runtime security framework"" and a ""security tool for monitoring the activity of Linux devices at runtime"". Its core functionality involves using eBPF probes to collect kernel events, process them through a rules engine, and generate ""THREAT"" alerts for activities that match predefined security policies. The provided example, detecting the creation of a symbolic link to `/etc/shadow`, perfectly illustrates its purpose of detecting potentially malicious activity in real-time, which is the defining characteristic of the Runtime Security class.",
citronneur/blindssl,Offensive Security,"The repository's explicit purpose is to disable SSL certificate verification by using eBPF uprobes to hook and manipulate functions within the `libssl` library. This functionality directly subverts a critical security measure, which is a hallmark of offensive tooling. The program's actions—hijacking function calls (`SSL_new`, `SSL_get_verify_result`) to bypass security checks—align perfectly with the definition of Offensive Security, which covers programs used for adversarial, exploitative, or red-team purposes. Even though it is presented as a proof-of-concept, its capability is inherently offensive.",
quarkslab/peetch,Offensive Security,"The repository's explicit goal is to ""bypass TLS protocol protections"". It achieves this by using eBPF to hook into OpenSSL functions, extract cryptographic master secrets, and decrypt TLS traffic on the fly. This functionality is inherently adversarial and designed for red-teaming or security research that involves subverting existing security measures. The tool's purpose is not to defend or observe, but to actively break the confidentiality provided by TLS, which is a classic offensive security objective. The project's description and functionality align perfectly with the inclusion criteria for Offensive Security, such as using eBPF to bypass security measures and exfiltrate data (keys and plaintext).",
Flowmill/flowmill-collector,Observability,"The repository's context states that the code is now part of OpenTelemetry, specifically in the `open-telemetry/opentelemetry-ebpf` repository. OpenTelemetry is a leading open-source project focused exclusively on collecting and exporting telemetry data (metrics, logs, and traces) for the purpose of observability. The name ""flowmill-collector"" itself implies that its primary function is to collect data. This directly aligns with the definition of the Observability class, which includes programs that 'collect, aggregate, or visualize telemetry data' and 'export data for visualization or correlation in observability stacks' like OpenTelemetry.",
bpfman/bpfman,"Operations, Orchestration & Lifecycle Management","The repository describes itself as a 'system daemon for managing eBPF programs' and an 'eBPF manager'. Its primary function is to simplify the deployment and administration of eBPF programs, including loading them, managing the eBPF filesystem, and orchestrating them in Kubernetes via a dedicated operator. This core intent directly matches the definition of Operations, Orchestration & Lifecycle Management, which focuses on tools that manage, deploy, and automate the lifecycle of eBPF programs rather than performing a specific task like security or networking.",
evilsocket/ebpf-process-anomaly-detection,Runtime Security,"The repository's primary function is to detect behavioral anomalies in a running process by tracing its system calls with eBPF and comparing them against a machine learning model of normal activity. This directly aligns with the definition of Runtime Security, which includes programs that 'observe, detect, and respond to potentially malicious or policy-violating activity while a system or workload is actively running.' The tool's operational mode is to monitor a live process and alert on deviations, which is a classic real-time threat detection pattern. While it uses tracing techniques common in Observability, its explicit goal of 'anomaly detection' firmly places it in the security domain, as it interprets system events through a threat-detection lens rather than for neutral performance analysis.",
eeriedusk/knockles,Defensive Security,"The repository implements an eBPF-based port knocking tool. The primary purpose of port knocking is to harden a system by hiding a service and making it invisible to unauthorized users and port scanners. This is a proactive measure to reduce the attack surface before any attack occurs. This functionality squarely fits the definition of Defensive Security, which includes programs that ""strengthen... or harden systems before or outside of active runtime attack conditions."" While the author states it is a ""demonstration,"" the tool's core functionality is a classic defensive hardening technique, not runtime threat detection (Runtime Security) or an attack simulation (Offensive Security).",
Gui774ume/krie,Runtime Security,"The repository's primary goal, as stated in the documentation, is to ""detect Linux Kernel exploits with eBPF"" and ""prevent out-of-the-box exploits from working on a vulnerable kernel."" It functions by monitoring critical, real-time kernel events that are often associated with exploit techniques, such as module loading, syscall table hooking, and the use of ptrace and kprobes. This places it squarely in the Runtime Security category, which is defined by the real-time observation, detection, and response to potentially malicious activity. The project's intent is to identify and react to attacks in progress, fitting the core definition of a runtime security tool.",
eunomia-bpf/eunomia-bpf,Developer Tooling / Frameworks,"The repository explicitly describes itself as 'A compiler and runtime framework to help you build and distribute eBPF program easier.' Its primary components are the `ecc` compiler toolchain, libraries to simplify writing eBPF code by abstracting boilerplate, and the `ecli` tool for packaging and distributing eBPF programs as OCI images. This aligns perfectly with the definition of a developer framework, which is designed to improve developer productivity and streamline the build and distribution lifecycle, rather than performing a specific runtime function like security, networking, or observability.",
trailofbits/btfparse,Developer Tooling / Frameworks,"The repository provides a reusable C++ library specifically designed to parse BTF (BPF Type Format) information. The documentation explicitly shows how developers can import and link this library into their own projects. Since BTF is fundamental for building portable CO-RE eBPF applications, a library that simplifies access to this information is a classic example of developer tooling. Its primary function is to aid in the creation of other eBPF-based programs by abstracting away low-level format details, which directly aligns with the definition of this category.",
aiven/pgtracer,Observability,"The repository's primary purpose is to trace and observe the behavior of a running PostgreSQL database. It uses eBPF to 'dump every executed query' and 'gather information about individual execution nodes to print query plans'. This aligns perfectly with the Observability class definition, which includes programs that 'observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal'. The tool's function is diagnostic and performance-oriented, aiming to provide insight into application behavior, which is the core intent of observability.",
groundcover-com/murre,Uncategorized,"This repository cannot be classified because it explicitly does not use eBPF. The provided documentation and the associated launch blog post state that Murre fetches resource metrics by querying the Kubernetes kubelet API directly, intentionally avoiding agents and eBPF. The classification system is strictly for programs that use eBPF. While the tool's purpose of providing resource metrics aligns with the functional goal of the 'Observability' category, its implementation method falls outside the scope of this eBPF-specific taxonomy.",
Kong/blixt,Cloud Native Networking,"The repository explicitly defines its purpose as an ""Experimental Layer 4 Kubernetes Gateway using eBPF for the data-plane"" and a ""load-balancer for Kubernetes"". This functionality falls squarely within the definition of Cloud Native Networking, which includes programs that use eBPF to implement networking infrastructure such as gateways and load balancers for containerized environments. Although the project was experimental and is now archived, its primary intent was to build a functional piece of Kubernetes networking infrastructure, which is the core of this category.",
odigos-io/odigos,Observability,"The repository's main intent is explicitly stated as being an ""open-source distributed tracing solution"" that ""simplifies and improves observability."" Its core functionality is to use eBPF for code-free, automatic instrumentation of applications (Java, Python, .NET, Node.js, Go) to generate distributed traces. The output is compatible with OpenTelemetry, a standard for observability data. The project's goal is to help operators and SREs understand system behavior and performance, which directly aligns with the definition of the Observability class. It does not perform security enforcement, networking, or provide a developer framework; its purpose is to observe, measure, and trace.",
apache/skywalking-rover,Observability,"The repository is explicitly described as a 'collector' and 'profiler' to 'monitor network traffic, and diagnose CPU and network performance.' Its key features include collecting metrics, CPU profiling, network profiling, and enhancing distributed tracing. This aligns perfectly with the Observability class, which focuses on using eBPF to measure, trace, and profile systems for performance analysis and diagnostics, without a security or networking intent.",
coroot/coroot-node-agent,Observability,"The repository's main purpose is to gather and expose metrics for system and container monitoring. It uses eBPF for TCP connection tracing to build service maps, detect connection errors, and measure network latency. These functions are explicitly for visibility and performance analysis, not security enforcement. The agent exports data in the Prometheus format and is part of a larger project described as an 'observability tool.' The collected metrics, such as CPU/disk delay accounting and OOM events, are all classic indicators of a tool designed for performance monitoring and debugging, fitting the definition of the Observability class perfectly.",
evdenis/lsm_bpf_check_argc0,Runtime Security,"The program's sole purpose is to prevent a specific type of malicious program execution (related to CVE-2021-4034) in real time. It uses eBPF's Linux Security Module (LSM) hooks to observe `exec*` system calls and actively blocks those that violate the policy (argc == 0). This aligns perfectly with the definition of Runtime Security, which involves observing, detecting, and responding to malicious activity while a system is running. The tool's keywords—""prevent,"" ""LSM BPF program,"" ""protection""—and its function of blocking a syscall directly confirm its classification as a runtime enforcement tool.",
rubrikinc/wachy,Observability,"The repository explicitly describes itself as a ""dynamic tracing profiler for Linux"" and a tool for ""interactive eBPF-based userspace performance debugging."" Its purpose is to trace and profile arbitrary compiled binaries to help developers understand performance issues. This aligns perfectly with the Observability class definition, which includes programs that ""observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" Wachy's intent is to provide insight and diagnostics, not to enforce security policies or manage network traffic.",
gojue/ecapture,Observability,"The primary intent of eCapture is to provide visibility into otherwise opaque system activities for analysis and troubleshooting. Its core feature is decrypting SSL/TLS traffic without a CA certificate, which is a classic observability and debugging task to understand application-level communication. While it includes modules for 'auditing' shell commands (bash, zsh) and SQL queries, these functions also serve observability purposes, such as performance analysis or debugging. The tool's behavior is to capture and display data ('observe and report') without any built-in logic for detecting malicious patterns, enforcing policies, or generating security alerts. It answers the question 'What is happening?' rather than 'Is something bad happening?', which places it squarely in the Observability category over Runtime Security.",
